Gender,Age,attendance_status,menstruation_applicable,"Did you know about the free menstrual products in the Female/Gender Neutral bathrooms prior to taking this poll? 
 (Located in: SCC, across from Records and Registration, Cohen Cafe, AMEC 101, and in Gender Neutral Bathrooms near LRC 121, and Cohen Cafe)",free_products_used,product_use_preference,product_usage_frequency,school_usage_reasoning,missed_class_impact,attendance_increase_impact,free_product_impact,support_scale,no_support_reason
Female,18-24,Full Time,No,,,,,,,,,Highly Supportive,Budget constraints (Financial Burden on School)
Male,18-24,Part Time,No,,,,,,,,,Highly Supportive,
Male,18-24,Part Time,No,,,,,,,,,Highly Supportive,
Non-Binary,18-24,Full Time,Yes,Yes,No,Both,Rarely,I didn’t have the product(s) that I needed,No,Somewhat,More able to continue with day to day activities during my period,Somwhat Supportive,
Female,25-34,Full Time,Yes,No,No,Both,Rarely,I didn’t have the product(s) that I needed,No,To a Great Extent,Less worried about having my period;More able to continue with day to day activities during my period;Improved my mental health and wellbeing;Increased my attendance at school/college/university during my period;Introduced me to other services that the school/college/university provide;Other positive impact(s),Highly Supportive,i support
Female,18-24,Full Time,Yes,Yes,No,Only School Products if Necessary,Rarely,I didn’t have the product(s) that I needed,No,Somewhat,Less worried about having my period;More able to continue with day to day activities during my period;Increased my attendance at school/college/university during my period;Other positive impact(s),Highly Supportive,i am supportive of it
Male,15-17,Part Time,No,,,,,,,,,Somwhat Supportive,Logistical challenges (School will not be able to support this intiative long run)
Male,18-24,Full Time,No,,,,,,,,,Somwhat Supportive,
Male,18-24,Full Time,No,,,,,,,,,Highly Supportive,
Male,18-24,Full Time,No,,,,,,,,,Highly Supportive,
Male,18-24,Part Time,No,,,,,,,,,Highly Supportive,
Male,18-24,Full Time,No,,,,,,,,,Somwhat Supportive,Budget constraints (Financial Burden on School)
Male,18-24,Full Time,No,,,,,,,,,Somwhat Supportive,Students should independently manage their period product needs.
Male,18-24,Full Time,No,,,,,,,,,Highly Supportive,
Female,18-24,Full Time,Yes,Yes,No,Both,Often,I didn’t have the product(s) that I needed,No,To a Great Extent,Less worried about having my period;More able to continue with day to day activities during my period;Introduced me to other services that the school/college/university provide,Highly Supportive,
Female,15-17,Full Time,Yes,No,Yes,Only School Products if Necessary,Never,I didn’t have the product(s) that I needed,No,Somewhat,Less worried about having my period;More able to continue with day to day activities during my period;Other positive impact(s),Highly Supportive,
Female,15-17,Part Time,Yes,Yes,No,Only School Products if Necessary,Rarely,I didn’t have the product(s) that I needed,No,To a Great Extent,Less worried about having my period;More able to continue with day to day activities during my period;Improved my mental health and wellbeing;Increased my attendance at school/college/university during my period,Highly Supportive,
Male,15-17,Full Time,No,,,,,,,,,Highly Supportive,
Male,18-24,Full Time,No,,,,,,,,,Highly Supportive,
Male,18-24,Full Time,No,,,,,,,,,Highly Supportive,Budget constraints (Financial Burden on School)
Male,18-24,Full Time,Yes,No,Yes,Both,Often,I didn’t have the product(s) that I needed,No,To a Great Extent,More able to continue with day to day activities during my period;Increased my attendance at school/college/university during my period,Highly Supportive,Budget constraints (Financial Burden on School)
Male,18-24,Full Time,No,,,,,,,,,Highly Supportive,
Female,18-24,Full Time,Yes,Yes,No,Schools Products,Never,,No,Somewhat,Less worried about having my period;More able to continue with day to day activities during my period,Highly Supportive,
Female,18-24,Full Time,Yes,Yes,No,Both,Rarely,I didn’t have the product(s) that I needed,Yes,To a Great Extent,Less worried about having my period,Highly Supportive,
